rID,DaysAfterPlanting,Genotype,Location,Humidity,GDD,Growth.rate
312,12,Gen-B,Loc-N,54.51,76,-0.735232488
313,13,Gen-B,Loc-N,33.4,87,-0.733959101
314,14,Gen-B,Loc-N,23.98,106.5,-0.73257743
315,15,Gen-B,Loc-N,18.23,120,-0.731078267
316,16,Gen-B,Loc-N,19.57,135,-0.729451619
317,17,Gen-B,Loc-N,22.98,149.5,-0.727686646
318,18,Gen-B,Loc-N,16.24,163,-0.725771586
319,19,Gen-B,Loc-N,17.64,168,-0.723693676
320,20,Gen-B,Loc-N,22.67,182.5,-0.721439067
321,21,Gen-B,Loc-N,44,199,-0.718992734
322,22,Gen-B,Loc-N,42.98,216,-0.716338372
323,23,Gen-B,Loc-N,38.09,225.5,-0.713458293
324,24,Gen-B,Loc-N,30.83,238,-0.710333301
325,25,Gen-B,Loc-N,31.87,258.5,-0.70694257
326,26,Gen-B,Loc-N,26.34,276.5,-0.703263502
327,27,Gen-B,Loc-N,38.66,291.5,-0.699271579
328,28,Gen-B,Loc-N,39.71,308.5,-0.694940196
329,29,Gen-B,Loc-N,28.26,328,-0.690240486
330,30,Gen-B,Loc-N,23.72,346.5,-0.685141128
331,31,Gen-B,Loc-N,31.29,370.5,-0.679608138
332,32,Gen-B,Loc-N,30.2,394.5,-0.673604642
333,33,Gen-B,Loc-N,22.76,418.5,-0.667090628
334,34,Gen-B,Loc-N,25.39,446,-0.660022683
335,35,Gen-B,Loc-N,29.93,470,-0.652353705
336,36,Gen-B,Loc-N,19.87,493,-0.644032583
337,37,Gen-B,Loc-N,13.52,515,-0.635003861
338,38,Gen-B,Loc-N,18.98,537.5,-0.625207368
339,39,Gen-B,Loc-N,25.97,562.5,-0.614577817
340,40,Gen-B,Loc-N,27.61,586,-0.603044368
341,41,Gen-B,Loc-N,27.26,609.5,-0.590530158
342,42,Gen-B,Loc-N,22.38,634,-0.57695179
343,43,Gen-B,Loc-N,17.79,655,-0.562218776
344,44,Gen-B,Loc-N,19.52,678.5,-0.546232937
345,45,Gen-B,Loc-N,20.22,703.5,-0.528887746
346,46,Gen-B,Loc-N,34.51,728.5,-0.510067625
347,47,Gen-B,Loc-N,32.71,754,-0.489647175
348,48,Gen-B,Loc-N,22.97,774.5,-0.467490349
349,49,Gen-B,Loc-N,17.63,796,-0.443449546
350,50,Gen-B,Loc-N,15.13,820.5,-0.417364647
351,51,Gen-B,Loc-N,23.6,841.5,-0.389061958
352,52,Gen-B,Loc-N,23.46,863.5,-0.358353087
353,53,Gen-B,Loc-N,16.24,885,-0.32503372
354,54,Gen-B,Loc-N,14.25,904,-0.288882327
355,55,Gen-B,Loc-N,20.88,915.5,-0.24965878
356,56,Gen-B,Loc-N,35.44,935.5,-0.207102884
357,57,Gen-B,Loc-N,33.51,960,-0.160932867
358,58,Gen-B,Loc-N,34.06,983.5,-0.110843824
359,59,Gen-B,Loc-N,36.56,1007,-0.056506174
360,60,Gen-B,Loc-N,64.53,1030.5,0.002435787
361,61,Gen-B,Loc-N,47.71,1054,0.066365128
362,62,Gen-B,Loc-N,32.35,1079.5,0.135693116
363,63,Gen-B,Loc-N,32.18,1105,0.210859364
364,64,Gen-B,Loc-N,33.05,1127,0.292330825
365,65,Gen-B,Loc-N,25.23,1149,0.380598951
366,66,Gen-B,Loc-N,30.45,1174,0.476173976
